timestamp,scenario,system,trial,success,total_time_sec,path_length_m,num_llm_calls,num_replans,time_to_recover_sec,message
1782046923.729000,S1,baseline,1,1,388.725000,7.173683,0,0,-1.000000,"Placed red_cube at dispatch_zone"
1782047360.476000,S1,baseline,2,0,373.190000,7.106076,0,0,-1.000000,"navigate_to(dispatch): Navigation timed out (300 s)"
1782055078.956000,S1,baseline,3,0,285.671000,5.776740,0,0,-1.000000,"navigate_to(dispatch): Navigation failed"
1782055998.800000,S4,llm,1,0,175.046000,1.882991,0,0,-1.000000,"execute_task did not complete normally"
1782065442.226000,S4,llm,1,0,5.361000,0.000000,0,0,-1.000000,"execute_task did not complete normally"
1782067065.659000,S4,llm,1,1,289.647000,6.041981,8,1,284.240000,"Successfully picked up the red cube from the table and delivered it to the dispatch_zone."
1782133334.203000,S1,llm,1,1,382.655000,5.498875,5,1,-1.000000,"Successfully picked up the red cube from the table and delivered it to the dispatch zone."
1782134425.489000,S1,llm,1,1,207.935000,5.496915,5,0,-1.000000,"Successfully picked up the red cube from the table and delivered it to the dispatch zone."
1782135066.611000,S1,llm,2,0,339.273000,6.799456,26,16,-1.000000,"Exceeded max LLM turns without completing the task"
1782135352.653000,S1,llm,3,0,173.782000,5.336373,13,8,-1.000000,"Unable to complete the task. The robot arm is stuck in a fixed joint configuration (joint0: 1.440, joint1: 3.140, joint2: 1.286, joint3: -0.392, joint4: 1.534, joint5: 0.996, joint6: 1.500, joint7: 1.500) and cannot move to the ready staging pose required for picking up objects. Multiple attempts to move the arm to home or ready positions failed, indicating a system-level malfunction preventing arm control."
1782135659.872000,S1,llm,4,0,188.324000,5.618025,14,8,-1.000000,"The arm is locked in an invalid configuration (joint1 at 3.14 rad, joint3 at -0.39 rad) and cannot transition to the ready pose required for picking. All arm movement commands have failed, preventing the red cube from being picked up and delivered to dispatch."
1782136731.283000,S1,llm,1,1,281.359000,6.407287,11,2,-1.000000,"Successfully picked up the red cube from the table and delivered it to the dispatch zone."
1782137613.755000,S1,llm,2,1,580.549000,7.126113,9,3,-1.000000,"Successfully picked up the red_cube from the table and delivered it to the dispatch_zone."
1782138113.004000,S1,llm,3,0,449.200000,14.149690,26,8,-1.000000,"Exceeded max LLM turns without completing the task"
1782139987.626000,S1,llm,4,0,1572.592000,20.913750,26,10,-1.000000,"Exceeded max LLM turns without completing the task"
1782140614.879000,S1,llm,5,0,325.224000,9.467185,26,10,-1.000000,"Exceeded max LLM turns without completing the task"
1782141687.191000,S1,llm,6,0,770.306000,16.533805,26,7,-1.000000,"Exceeded max LLM turns without completing the task"
1782142886.402000,S1,llm,7,0,908.406000,12.543145,26,11,-1.000000,"Exceeded max LLM turns without completing the task"
1782143814.202000,S1,llm,8,0,780.229000,18.804248,26,9,-1.000000,"Exceeded max LLM turns without completing the task"
1782145117.194000,S1,llm,9,0,1012.658000,14.165369,15,9,-1.000000,"Unable to complete task due to persistent navigation system timeouts and movement failures. The robot experienced multiple navigate_to timeouts and drive_distance failures while attempting to reach the table to pick up the red cube. The system appears to have localization or motion planning issues that prevent reliable robot movement."
1782399658.925000,S1,llm,1,0,208.260000,4.760552,26,7,-1.000000,"Exceeded max LLM turns without completing the task"
1782400407.754000,S1,baseline,1,0,385.757000,6.805293,0,0,-1.000000,"navigate_to(dispatch): Navigation timed out (300 s)"
1782401259.829000,S1,baseline,1,0,370.409000,6.167926,0,0,-1.000000,"navigate_to(dispatch): Navigation timed out (300 s)"
1782401726.270000,S1,baseline,1,0,1.404000,0.014212,0,0,-1.000000,"navigate_to(table): navigate_to_pose action server not available"
1782402315.654000,S1,baseline,1,0,508.701000,5.782565,0,0,-1.000000,"navigate_to(dispatch): Navigation failed"
1782403338.913000,S1,baseline,1,0,59.303000,1.722597,0,0,-1.000000,"pick_at_pose: red_cube: gripper 6 cm from cube (need ≤5 cm)"
1782403460.017000,S1,baseline,2,0,1.505000,0.000480,0,0,-1.000000,"navigate_to(table): navigate_to_pose action server not available"
1782403642.022000,S1,baseline,1,0,49.651000,1.723770,0,0,-1.000000,"pick_at_pose: red_cube: gripper 5 cm from cube (need ≤5 cm)"
1782403739.838000,S1,baseline,2,0,1.406000,0.000188,0,0,-1.000000,"navigate_to(table): navigate_to_pose action server not available"
1782404075.415000,S1,baseline,1,1,256.007000,5.824450,0,0,-1.000000,"Placed red_cube at dispatch_zone"
1782404701.129000,S1,baseline,1,1,437.222000,6.317615,0,0,-1.000000,"Placed red_cube at dispatch_zone"
1782405221.211000,S1,baseline,2,0,150.964000,1.673139,0,0,-1.000000,"navigate_to(table): Navigation failed"
1782405862.315000,S1,baseline,1,1,462.734000,6.397135,0,0,-1.000000,"Placed red_cube at dispatch_zone"
1782406738.534000,S1,baseline,2,1,507.342000,6.396473,0,0,-1.000000,"Placed red_cube at dispatch_zone"
1782407436.629000,S1,llm,1,1,242.870000,5.521054,5,0,-1.000000,"Successfully picked up the red cube from the table and delivered it to the dispatch zone."
1782408540.028000,S1,llm,2,1,714.149000,8.657860,7,2,-1.000000,"Successfully picked up the red cube from the table and delivered it to the dispatch_zone."
1782409471.057000,S4,llm,1,1,479.012000,5.606492,5,1,473.581000,"Successfully picked up the red cube from the table and delivered it to the dispatch_zone."
1782410385.262000,S4,llm,2,1,546.712000,6.986668,8,3,541.302000,"Successfully picked up the red cube from the table and delivered it to the dispatch zone. The robot navigated to the dispatch zone location and placed the cube there."
1782411270.544000,S4,llm,3,1,502.793000,6.447067,5,2,497.363000,"Successfully picked up the red cube from the table and transported it to the dispatch zone. The arm returned to home position and the cube is no longer detected, confirming successful placement."
1782480983.881000,S4,llm,1,1,299.063000,6.179775,8,1,293.680000,"Successfully transported the red cube from the table to the dispatch zone."
1782481485.220000,S4,baseline,1,0,70.729000,1.725354,0,0,-1.000000,"pick_at_pose: red_cube: gripper 14 cm from cube (need ≤7 cm)"
1782482528.905000,S4,baseline,2,0,899.669000,1.916808,0,0,-1.000000,"navigate_to(dispatch): Navigation timed out (600 s)"
1782483264.814000,S4,baseline,3,0,600.098000,0.000000,0,0,-1.000000,"navigate_to(table): Navigation timed out (600 s)"
1782483955.423000,S4,baseline,1,0,289.890000,1.979939,0,0,-1.000000,"navigate_to(dispatch): Navigation failed"
1782484319.264000,S4,baseline,1,1,237.868000,5.700760,0,0,232.467000,"Placed red_cube at dispatch_zone"
1782489709.463000,S2,llm,1,1,242.430000,5.505039,5,0,-1.000000,"Successfully brought the red cube from the table to the dispatch zone."
1782490728.408000,S2,llm,2,1,714.179000,10.236472,7,4,-1.000000,"Successfully picked up the red cube from the table and placed it at the dispatch zone."
1782491995.236000,S2,llm,3,1,664.867000,8.328467,14,4,-1.000000,"Successfully picked up the red cube from the table and brought it to the dispatch zone."
1782493185.915000,S2,baseline,1,0,340.197000,1.721104,0,0,-1.000000,"navigate_to(dispatch): Navigation failed"
1782576527.082000,S2,llm,1,1,231.732000,5.498398,5,0,-1.000000,"Successfully picked up the red cube from the table and delivered it to the dispatch zone."
1782578958.196000,S2,llm,1,0,468.892000,5.945934,9,6,-1.000000,"Unable to complete task: The robot's arm is stuck in an unresponsive configuration and the navigation system is timing out repeatedly. The arm cannot be moved to the ready pose required for picking, and navigation commands exceed the timeout threshold, preventing the robot from reaching the table to pick up the red cube."
1782580657.344000,S2,llm,1,1,505.052000,6.848076,7,1,-1.000000,"Successfully picked up the red cube from the table and delivered it to the dispatch zone."
1782581140.572000,S2,baseline,1,1,236.474000,5.641625,0,0,-1.000000,"Placed red_cube at dispatch_zone"
1782582181.739000,S2,baseline,2,0,688.269000,1.738366,0,0,-1.000000,"navigate_to(dispatch): Navigation timed out (600 s)"
1782583149.154000,S2,baseline,3,0,600.088000,0.000000,0,0,-1.000000,"navigate_to(table): Navigation timed out (600 s)"
1782584250.937000,S2,baseline,4,0,933.136000,1.907681,0,0,-1.000000,"navigate_to(dispatch): Navigation timed out (600 s)"
1782585197.182000,S2,baseline,5,0,600.031000,0.000000,0,0,-1.000000,"navigate_to(table): Navigation timed out (600 s)"
1782586544.447000,S3,llm,1,0,815.307000,16.204264,26,5,-1.000000,"Exceeded max LLM turns without completing the task"
1782590401.054000,S3,llm,1,0,953.334000,2.045789,10,5,-1.000000,"Task cannot be completed due to a system-wide timeout issue affecting navigation and arm movement. The red cube was successfully picked from the table, but the robot cannot navigate to the dispatch zone or place objects due to repeated timeouts in both navigate_to and drive_distance commands."
1782737452.835000,S3,llm,1,0,2002.057000,25.248773,51,13,-1.000000,"Exceeded max LLM turns without completing the task"
1782740034.701000,S3,llm,1,0,2262.210000,31.958638,51,18,-1.000000,"Exceeded max LLM turns without completing the task"
1782743317.550000,S3,llm,2,0,2806.879000,31.084098,51,18,-1.000000,"Exceeded max LLM turns without completing the task"
1782744341.101000,S3,llm,3,0,608.686000,0.438055,4,3,-1.000000,"Unable to complete the task: all robot commands (navigate_to, drive_distance, and detect_objects) are timing out consistently. The robot appears to be unresponsive or experiencing system failures that prevent any movement or sensing operations."
1782745486.017000,S3,llm,4,0,824.853000,1.176140,6,5,-1.000000,"Unable to complete task: Robot navigation and arm control systems are timing out repeatedly. Cannot navigate to the table to detect and pick up cubes, preventing execution of the cube transport task."
1782746713.856000,S3,llm,5,0,610.780000,0.000000,4,3,-1.000000,"Task cannot be completed. The robot's navigation and movement systems are experiencing persistent timeouts, preventing the robot from reaching the table to pick up the cubes. Without the ability to move or navigate, the task to move all cubes to the dispatch zone cannot be executed."
1782749244.838000,S3,llm,1,0,1869.920000,19.842887,0,0,-1.000000,"execute_task did not complete normally"
1782749294.802000,S3,llm,2,0,0.602000,0.000000,0,0,-1.000000,"execute_task did not complete normally"
1782749345.022000,S3,llm,3,0,0.806000,0.000000,0,0,-1.000000,"execute_task did not complete normally"
1782749394.866000,S3,llm,4,0,0.703000,0.000000,0,0,-1.000000,"execute_task did not complete normally"
1782749444.904000,S3,llm,5,0,0.703000,0.000000,0,0,-1.000000,"execute_task did not complete normally"
1782821093.035000,S3,llm,1,0,1776.091000,12.542678,17,9,-1.000000,"Successfully moved the red cube to dispatch zone, but the robot's navigation and manipulation systems became unresponsive during attempts to retrieve the remaining cubes (green and blue). Multiple navigation and pick operations timed out, and the robot is now unable to navigate to any location to continue the task."
1783004743.283000,S5,llm,1,0,276.260000,5.376204,28,11,-1.000000,"The task cannot be completed. The robot's 6-DOF arm has insufficient reach to grasp the colored cubes on the table from any accessible robot base position. The cubes are detected at approximately x=1.97, but the arm cannot achieve the necessary pre-grasp position, regardless of base positioning. The arm reach is fundamentally insufficient to pick up objects at the table location."
